ebitdaMargins,profitMargins,grossMargins,revenueGrowth,operatingMargins,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,forwardEps,heldPercentInstitutions,priceToBook,shortRatio,beta,earningsQuarterlyGrowth,priceToSalesTrailing12Months,pegRatio,forwardPE,trailingPE,dividendYield,Ticker
0.11902001,0.13156,0.121070005,0.048,0.07767,,1.201,0.025239998,22,286.876,0.45095003,9.105,34.162,1.031,1.285,10.8,1.99,0.54769003,1.9471444,0.52,1.079562,,0.52260846,0.16,8.959799,25.007013,0.0222,F
0.48748,0.35880002,0.8085,0.351,0.4179,0.188,4.234,0.18568,52,9.912,0.32103002,20.877,39.588,3.939,7.479,15.343,14.23,0.8002,4.4081426,1.31,1.282818,0.172,5.212364,1.13,14.791286,15.062258,,FB
0.1309,0.05489,0.27459,0.142,0.08738,-0.147,1.494,0.05913,29,147.67,0.21384001,12.894,337.932,1.371,1.903,14.535,23.02,0.72380996,2.3449917,1.39,1.286753,-0.148,0.6530726,0.73,9.588184,12.140146,0.0113,FDX
0.13715,0.08555,0.16855,0.015,0.114259996,0.059,1.485,0.054330003,17,97.405,0.2173,11.262,136.876,0.994,1.844,13.444,12.45,0.86539,4.0421267,2.06,1.078441,0.031,1.6466776,2.15,18.311647,19.565739,0.0224,GD
0.09193,-0.00052,0.18652001,-0.005,0.022550002,,1.796,0.00451,18,169.123,0.048779998,18.937,71.711,0.855,1.98,21.542,3.97,0.72137,2.8242776,1.32,1.042597,,1.3460324,6.96,24.274559,,0.0032,GE
0.54316,0.26905,0.83022004,0.128,0.47249,6.147,1.366,0.12683,26,128.946,0.37846002,5.269,21.876,1.091,4.063,7.48,6.8,0.82421,3.5725975,2.89,0.350129,6.2,2.7897427,6.77,8.9882345,10.4585905,0.039300002,GILD
0.13302,0.078889996,0.14235,-0.105,0.09003,-0.401,1.103,0.029779999,22,168.039,0.17222,16.983,87.529,0.843,1.283,9.645,6.83,0.82625,1.3138505,0.99,1.195425,-0.388,0.5422012,0.64,6.944363,6.347698,,GM
0.35616,0.29521,0.56511,0.41,0.303,0.707,2.98,0.14011,9,11.493,0.30872,213.936,356.562,2.862,7.538,21.166,112.3,0.66238,7.311915,1.48,1.068051,0.684,7.4648786,1.27,23.957167,25.917728,,GOOG
0.35616,0.29521,0.56511,0.41,0.303,0.707,2.98,0.14011,44,11.493,0.30872,213.936,356.562,2.862,7.538,21.163,112.42,0.79674006,7.3086534,1.39,1.068051,0.684,7.462426,1.27,23.920921,25.90617,,GOOGL
0,0.38197,0.89524,0.279,0.48047,0.662,1.721,0.017239999,26,533.961,0.21962999,2679.325,164.747,1.63,-3.889,,40.24,0.73371005,1.2719795,1.61,1.496198,0.597,2.0089846,0.39,8.700795,5.7746987,0.0226,GS
0.17396,0.10791001,0.33718,0.098,0.15505,0.233,1.132,0.20454,33,4373.43,12.4031105,4.852,138.978,0.32,3.191,18.343,16.19,0.71977997,320.17188,2.77,0.990129,0.203,2.2387326,1.95,19.558369,21.173521,0.016,HD
0.25206,0.15802,0.3234,0.087,0.21779,0.682,1.288,0.073860005,23,122.846,0.30444,17.629,49.784,0.967,4.455,17.673,8.98,0.75452006,7.275533,1.46,1.172467,0.658,3.7479146,2.27,20.997774,24.267696,0.0188,HON
0.21030001,0.06401,0.48443002,0.003,0.119849995,-0.338,0.836,0.03739,17,263.801,0.21405001,8.982,83.234,0.65,2.348,11.165,10.3,0.57884,5.0100865,4.18,1.103896,-0.335,1.4948095,2.07,12.056311,23.505585,0.0475,IBM
